demand			
node	Major	Month	Demand
609	0	12	5.804
610	1	1	2.19
610	1	2	2.155
610	1	3	2.155
610	1	4	2.155
610	1	5	2.155
610	1	6	2.155
610	1	7	2.155
610	1	8	2.21
610	1	9	2.303
610	1	10	2.396
610	1	11	2.386
610	1	12	2.282
618	0	1	24.895
618	0	2	24.895
618	0	3	24.892
618	0	4	24.895
618	0	5	24.895
618	0	6	24.895
618	0	7	24.895
618	0	8	24.895
618	0	9	24.895
618	0	10	24.895
618	0	11	24.895
618	0	12	24.895
623	1	1	10.974
623	1	2	10.974
623	1	3	10.974
623	1	4	10.974
623	1	5	10.974
623	1	6	10.974
623	1	7	10.974
623	1	8	10.974
623	1	9	10.974
623	1	10	10.974
623	1	11	10.974
623	1	12	10.974
624	1	1	5.748
624	1	2	5.748
624	1	3	5.748
624	1	4	5.748
624	1	5	5.748
624	1	6	5.748
624	1	7	5.748
624	1	8	5.748
624	1	9	5.748
624	1	10	5.748
624	1	11	5.748
624	1	12	5.748
625	1	1	6.456
625	1	2	6.456
625	1	3	6.456
625	1	4	6.456
625	1	5	6.456
625	1	6	6.456
625	1	7	6.456
625	1	8	6.456
625	1	9	6.456
625	1	10	6.457
625	1	11	6.459
625	1	12	6.456
626	1	1	0.013
626	1	2	0
626	1	3	0
626	1	4	0
626	1	5	0
626	1	6	0
626	1	7	0
626	1	8	0.016
626	1	9	0.048
626	1	10	0.078
626	1	11	0.076
626	1	12	0.041
634	1	1	10.974
634	1	2	10.974
634	1	3	10.974
634	1	4	10.974
634	1	5	10.974
634	1	6	10.974
634	1	7	10.974
634	1	8	10.974
634	1	9	10.974
634	1	10	10.974
634	1	11	10.974
634	1	12	10.974
635	1	1	5.579
635	1	2	5.579
635	1	3	5.579
635	1	4	5.579
635	1	5	5.579
635	1	6	5.579
635	1	7	5.579
635	1	8	5.579
635	1	9	5.579
635	1	10	5.579
635	1	11	5.579
635	1	12	5.579
640	1	1	4.046
640	1	2	0
640	1	3	0
640	1	4	0
640	1	5	0
640	1	6	0
640	1	7	0
640	1	8	3.866
640	1	9	5.456
640	1	10	5.512
640	1	11	5.507
640	1	12	5.444
642	1	1	3295.6
642	1	2	3295.6
642	1	3	3295.6
642	1	4	3295.6
642	1	5	3295.6
642	1	6	3295.6
642	1	7	3295.6
642	1	8	3295.6
642	1	9	3295.6
642	1	10	3295.6
642	1	11	3295.6
642	1	12	3295.6
668	1	1	0
668	1	2	0
668	1	3	0
668	1	4	0
668	1	5	0
668	1	6	0
668	1	7	0
668	1	8	0
668	1	9	0
668	1	10	0
668	1	11	0
668	1	12	0
669	1	1	0.058
669	1	2	0.016
669	1	3	0.016
669	1	4	0.016
669	1	5	0.016
669	1	6	0.016
669	1	7	0.016
669	1	8	0.08
669	1	9	0.191
669	1	10	0.3
669	1	11	0.288
669	1	12	0.166
671	1	1	0.353
671	1	2	0.036
671	1	3	0.036
671	1	4	0.036
671	1	5	0.036
671	1	6	0.036
671	1	7	0.036
671	1	8	0.368
671	1	9	0.611
671	1	10	0.751
671	1	11	0.737
671	1	12	0.581
672	1	1	1.78
672	1	2	1.704
672	1	3	1.704
672	1	4	1.704
672	1	5	1.704
672	1	6	1.704
672	1	7	1.704
672	1	8	1.776
672	1	9	1.806
672	1	10	1.806
672	1	11	1.806
672	1	12	1.806
673	1	1	17.284
673	1	2	17.111
673	1	3	17.111
673	1	4	17.111
673	1	5	17.111
673	1	6	17.111
673	1	7	17.111
673	1	8	17.299
673	1	9	17.454
673	1	10	17.557
673	1	11	17.547
673	1	12	17.431
674	1	1	0.236
674	1	2	0.046
674	1	3	0.046
674	1	4	0.046
674	1	5	0.046
674	1	6	0.046
674	1	7	0.046
674	1	8	0.268
674	1	9	0.504
674	1	10	0.692
674	1	11	0.672
674	1	12	0.463
691	1	1	0.335
691	1	2	0.082
691	1	3	0.082
691	1	4	0.082
691	1	5	0.082
691	1	6	0.082
691	1	7	0.082
691	1	8	0.412
691	1	9	0.856
691	1	10	1.252
691	1	11	1.212
691	1	12	0.768
692	1	1	0.292
692	1	2	0
692	1	3	0
692	1	4	0
692	1	5	0
692	1	6	0
692	1	7	0
692	1	8	0.449
692	1	9	1.233
692	1	10	2
692	1	11	1.922
692	1	12	1.064
693	1	1	0.213
693	1	2	0
693	1	3	0
693	1	4	0
693	1	5	0
693	1	6	0
693	1	7	0
693	1	8	0.328
693	1	9	0.901
693	1	10	1.462
693	1	11	1.406
693	1	12	0.778
747	1	1	9.458
747	1	2	9.458
747	1	3	9.458
747	1	4	9.465
747	1	5	9.465
747	1	6	9.465
747	1	7	9.465
747	1	8	9.465
747	1	9	9.465
747	1	10	9.465
747	1	11	9.465
747	1	12	9.463
807	1	1	3.075
807	1	2	3.075
807	1	3	3.075
807	1	4	3.075
807	1	5	3.075
807	1	6	3.075
807	1	7	3.075
807	1	8	3.075
807	1	9	3.075
807	1	10	3.075
807	1	11	3.075
807	1	12	3.075
813	1	1	11.785
813	1	2	11.785
813	1	3	11.785
813	1	4	11.785
813	1	5	11.785
813	1	6	11.785
813	1	7	11.785
813	1	8	11.785
813	1	9	11.785
813	1	10	11.785
813	1	11	11.785
813	1	12	11.785
815	0	1	1.143
815	0	2	0.676
815	0	3	0.676
815	0	4	0.676
815	0	5	0.676
815	0	6	0.676
815	0	7	0.676
815	0	8	1.106
815	0	9	1.29
815	0	10	1.288
815	0	11	1.279
815	0	12	1.284
815	1	1	1.953
815	1	2	1.839
815	1	3	1.839
815	1	4	1.839
815	1	5	1.839
815	1	6	1.839
815	1	7	1.839
815	1	8	1.943
815	1	9	1.988
815	1	10	1.987
815	1	11	1.984
815	1	12	1.986
827	1	1	0.046
827	1	2	0.034
827	1	3	0
827	1	4	0
827	1	5	0
827	1	6	0
827	1	7	0.023
827	1	8	0.046
827	1	9	0.046
827	1	10	0.046
827	1	11	0.046
827	1	12	0.046
829	1	1	0.066
829	1	2	0.066
829	1	3	0.066
829	1	4	0.016
829	1	5	0.066
829	1	6	0.066
829	1	7	0.066
829	1	8	0.066
829	1	9	0.066
829	1	10	0.066
829	1	11	0.066
829	1	12	0.066
830	1	1	0.275
830	1	2	0.068
830	1	3	0
830	1	4	0
830	1	5	0
830	1	6	0
830	1	7	0
830	1	8	0.138
830	1	9	0.277
830	1	10	0.277
830	1	11	0.277
830	1	12	0.277
848	1	1	0.267
848	1	2	0.267
848	1	3	0.267
848	1	4	0.267
848	1	5	0.267
848	1	6	0.267
848	1	7	0.267
848	1	8	0.267
848	1	9	0.672
848	1	10	0.807
848	1	11	0.807
848	1	12	0.672
867	1	1	0.639
867	1	2	0.639
867	1	3	0.639
867	1	4	0.639
867	1	5	0.639
867	1	6	0.639
867	1	7	0.639
867	1	8	0.639
867	1	9	1.581
867	1	10	1.895
867	1	11	1.895
867	1	12	1.581
878	1	1	20.713
878	1	2	20.713
878	1	3	20.713
878	1	4	20.713
878	1	5	20.713
878	1	6	20.713
878	1	7	20.713
878	1	8	20.713
878	1	9	20.713
878	1	10	20.713
878	1	11	20.713
878	1	12	20.713
881	1	1	28.718
881	1	2	28.718
881	1	3	0
881	1	4	0
881	1	5	0
881	1	6	0
881	1	7	21.538
881	1	8	28.718
881	1	9	28.718
881	1	10	28.718
881	1	11	28.718
881	1	12	28.718
882	1	1	0.517
882	1	2	0.517
882	1	3	0.517
882	1	4	0.514
882	1	5	0.514
882	1	6	0.514
882	1	7	0.514
882	1	8	0.514
882	1	9	0.514
882	1	10	0.514
882	1	11	0.514
882	1	12	0.516
917	1	1	0.052
917	1	2	0.049
917	1	3	0.049
