diversion_flows		
channel	month	flow
487	1	3531.47
487	2	3531.47
487	3	0
744	4	0
744	5	0
744	6	0
744	7	35314.7
744	8	35314.7
744	9	35314.7
744	10	35314.7
744	11	35314.7
744	12	35314.7
744	1	35314.7
744	2	35314.7
744	3	0
442	4	0
442	5	0
442	6	0
442	7	3531.47
442	8	3531.47
442	9	3531.47
442	10	3531.47
442	11	3531.47
442	12	3531.47
442	1	3531.47
442	2	3531.47
442	3	0
786	4	0
786	5	0
786	6	0
786	7	3531.47
786	8	3531.47
786	9	3531.47
786	10	3531.47
786	11	3531.47
786	12	3531.47
786	1	3531.47
786	2	3531.47
786	3	0
787	4	0
787	5	0
787	6	0
787	7	3531.47
787	8	3531.47
787	9	3531.47
787	10	3531.47
787	11	3531.47
787	12	3531.47
787	1	3531.47
787	2	3531.47
787	3	0
781	4	0
781	5	0
781	6	0
781	7	3531.47
781	8	3531.47
781	9	3531.47
781	10	3531.47
781	11	3531.47
781	12	3531.47
781	1	3531.47
781	2	3531.47
781	3	0
782	4	0
782	5	0
782	6	0
782	7	3531.47
782	8	3531.47
782	9	3531.47
782	10	3531.47
782	11	3531.47
782	12	3531.47
782	1	3531.47
782	2	3531.47
782	3	0
914	4	0
914	5	0
914	6	0
914	7	3531.47
914	8	3531.47
914	9	3531.47
914	10	3531.47
914	11	3531.47
914	12	3531.47
914	1	3531.47
914	2	3531.47
914	3	0
915	4	0
915	5	0
915	6	0
915	7	3531.47
915	8	3531.47
915	9	3531.47
915	10	3531.47
915	11	3531.47
915	12	3531.47
915	1	3531.47
915	2	3531.47
915	3	0
938	4	0
938	5	0
938	6	0
938	7	3531.47
938	8	3531.47
938	9	3531.47
938	10	3531.47
938	11	3531.47
938	12	3531.47
938	1	3531.47
938	2	3531.47
938	3	0
939	4	0
939	5	0
939	6	0
939	7	3531.47
939	8	3531.47
939	9	3531.47
939	10	3531.47
939	11	3531.47
939	12	3531.47
939	1	3531.47
939	2	3531.47
939	3	0
940	4	0
940	5	0
940	6	0
940	7	3531.47
940	8	3531.47
940	9	3531.47
940	10	3531.47
940	11	3531.47
940	12	3531.47
940	1	3531.47
940	2	3531.47
940	3	0
941	4	0
941	5	0
941	6	0
941	7	3531.47
941	8	3531.47
941	9	3531.47
941	10	3531.47
941	11	3531.47
941	12	3531.47
941	1	3531.47
941	2	3531.47
941	3	0
942	4	0
942	5	0
942	6	0
942	7	3531.47
942	8	3531.47
942	9	3531.47
942	10	3531.47
942	11	3531.47
942	12	3531.47
942	1	3531.47
942	2	3531.47
942	3	0
745	4	0
745	5	0
745	6	0
745	7	35314.7
745	8	35314.7
745	9	35314.7
745	10	35314.7
745	11	35314.7
745	12	35314.7
745	1	35314.7
745	2	35314.7
745	3	0
790	4	0
790	5	0
790	6	0
790	7	3531.47
790	8	3531.47
790	9	3531.47
790	10	3531.47
790	11	3531.47
790	12	3531.47
790	1	3531.47
790	2	3531.47
790	3	0
447	4	0
447	5	0
447	6	0
447	7	315.71
447	8	315.71
447	9	315.71
447	10	315.71
447	11	315.71
447	12	315.71
447	1	315.71
447	2	315.71
447	3	0
448	4	0
448	5	0
448	6	0
448	7	299.82
448	8	299.82
448	9	299.82
448	10	299.82
448	11	299.82
448	12	299.82
448	1	299.82
448	2	299.82
448	3	0
648	4	0
648	5	0
648	6	0
648	7	15.54
648	8	15.54
648	9	15.54
648	10	15.54
648	11	15.54
648	12	15.54
648	1	15.54
648	2	15.54
648	3	0
894	4	0
894	5	0
894	6	0
894	7	3531.47
894	8	3531.47
894	9	3531.47
894	10	3531.47
894	11	3531.47
894	12	3531.47
894	1	3531.47
894	2	3531.47
894	3	0
621	4	0
621	5	0
621	6	0
621	7	3531.47
621	8	3531.47
621	9	3531.47
621	10	3531.47
621	11	3531.47
621	12	3531.47
621	1	3531.47
621	2	3531.47
621	3	0
722	4	0
722	5	0
722	6	0
722	7	3531.47
722	8	3531.47
722	9	3531.47
722	10	3531.47
722	11	3531.47
722	12	3531.47
722	1	3531.47
722	2	3531.47
722	3	0
717	4	0
717	5	0
717	6	0
717	7	3531.47
717	8	3531.47
717	9	3531.47
717	10	3531.47
717	11	3531.47
717	12	3531.47
717	1	3531.47
717	2	3531.47
717	3	0
719	4	0
719	5	0
719	6	0
719	7	3531.47
719	8	3531.47
719	9	3531.47
719	10	3531.47
719	11	3531.47
719	12	3531.47
719	1	3531.47
719	2	3531.47
719	3	0
718	4	0
718	5	0
718	6	0
718	7	3531.47
718	8	3531.47
718	9	3531.47
718	10	3531.47
718	11	3531.47
718	12	3531.47
718	1	3531.47
718	2	3531.47
718	3	0
709	4	0
709	5	0
709	6	0
709	7	3531.47
709	8	3531.47
709	9	3531.47
709	10	3531.47
709	11	3531.47
709	12	3531.47
709	1	3531.47
709	2	3531.47
709	3	0
863	4	0
863	5	0
863	6	0
