NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
9,21,0,0,0,0
10,21,0,0,0,0
11,21,0,0,0,0
12,21,0,0,0,0
13,21,0,0,0,0
14,21,0,0,514.08000000000004,0
15,21,0,0,0,0
16,21,0,0,0,0
17,21,0,0,0,0
25,21,0,0,0,0
32,21,0,0,0,0
35,21,0,0,171.15799999999999,0
39,21,0,0,0,0
43,21,0,0,0,0
51,21,0,0,342.31700000000001,0
52,21,0,0,0,0
53,21,283.04599999999999,0,0,0
54,21,169.34399999999999,0,0,0
55,21,1179.3599999999999,0,0,0
56,21,91.325000000000003,0,0,0
57,21,79.834000000000003,0,0,0
60,21,0,0,410.05399999999997,0
61,21,260.06400000000002,0,0,0
62,21,0,0,0,0
63,21,0,0,0,0
64,21,0,0,0,0
65,21,0,0,0,0
66,21,0,0,0,0
67,21,0,0,0,0
68,21,0,0,0,0
69,21,0,0,0,0
70,21,0,0,0,0
71,21,0,0,0,0
2,22,15055.891,0,0,0
3,22,0,0,0,0
4,22,0,0,0,0
5,22,0,0,0,0
6,22,0,0,0,0
7,22,20243.260999999999,0,0,0
8,22,0,0,0,0
9,22,0,0,0,0
10,22,0,0,0,0
11,22,0,0,0,0
12,22,0,0,0,0
13,22,0,0,0,0
14,22,0,0,514.08000000000004,0
15,22,0,0,0,0
16,22,0,0,0,0
17,22,0,0,0,0
25,22,0,0,0,0
32,22,0,0,0,0
35,22,0,0,171.15799999999999,0
39,22,0,0,0,0
43,22,0,0,0,0
51,22,0,0,342.31700000000001,0
52,22,0,0,0,0
53,22,543.71500000000003,0,0,0
54,22,163.29599999999999,0,0,0
55,22,1167.2639999999999,0,0,0
56,22,175.392,0,0,0
57,22,153.619,0,0,0
60,22,0,0,410.05399999999997,0
61,22,260.06400000000002,0,0,0
62,22,0,0,0,0
63,22,0,0,0,0
64,22,0,0,0,0
65,22,0,0,0,0
66,22,0,0,0,0
67,22,0,0,0,0
68,22,0,0,0,0
69,22,0,0,0,0
70,22,0,0,0,0
71,22,0,0,0,0
2,23,26824.09,0,0,0
3,23,0,0,0,0
4,23,0,0,0,0
5,23,0,0,0,0
6,23,0,0,0,0
7,23,33540.998,0,0,0
8,23,0,0,0,0
9,23,0,0,0,0
10,23,0,0,0,0
11,23,0,0,0,0
12,23,0,0,0,0
13,23,0,0,0,0
14,23,0,0,514.08000000000004,0
15,23,0,0,0,0
16,23,0,0,0,0
17,23,0,0,0,0
25,23,0,0,0,0
32,23,0,0,0,0
35,23,0,0,171.15799999999999,0
39,23,0,0,0,0
43,23,0,0,0,0
51,23,0,0,342.31700000000001,0
52,23,0,0,0,0
53,23,791.68299999999999,0,0,0
54,23,290.30399999999997,0,0,0
55,23,2038.1759999999999,0,0,0
56,23,255.226,0,0,0
57,23,222.566,0,0,0
60,23,0,0,410.05399999999997,0
61,23,453.60000000000002,0,0,0
62,23,0,0,0,0
63,23,0,0,0,0
64,23,0,0,0,0
